,Outcome,Sex_Intact Female,Sex_Intact Male,Sex_Neutered Male,Sex_Spayed Female,Sex_Unknown,AnimalType_Cat,AnimalType_Dog,HasName_Yes,HasName_No,Age_in_Months,Colors,Breeds
0,Return_to_owner,0,0,1,0,0,0,1,1,0,12.0,BiColor,Mix
1,Euthanasia,0,0,0,1,0,1,0,1,0,12.0,Tabby,Mix
2,Adoption,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
3,Transfer,0,1,0,0,0,1,0,0,1,0.75,Other,Mix
4,Transfer,0,0,1,0,0,0,1,0,1,24.0,Tan,Hybrid
5,Transfer,1,0,0,0,0,0,1,1,0,1.0,BiColor,Hybrid
6,Transfer,0,1,0,0,0,1,0,1,0,0.75,Tabby,Mix
7,Transfer,0,0,0,0,1,1,0,0,1,0.75,Tabby,Mix
8,Adoption,0,0,0,1,0,0,1,1,0,5.0,BiColor,Mix
9,Adoption,0,0,0,1,0,0,1,0,1,12.0,White,Purebreed
10,Transfer,0,0,0,0,1,1,0,0,1,24.0,Black,Mix
11,Adoption,0,0,0,1,0,0,1,0,1,24.0,Other,Mix
12,Adoption,0,0,1,0,0,0,1,1,0,48.0,Brown,Mix
13,Return_to_owner,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
14,Return_to_owner,0,0,1,0,0,0,1,1,0,12.0,BiColor,Mix
15,Adoption,0,0,1,0,0,1,0,1,0,3.0,BiColor,Mix
16,Transfer,0,1,0,0,0,1,0,0,1,0.75,Tabby,Mix
17,Transfer,1,0,0,0,0,0,1,0,1,0.5,BiColor,Mix
18,Transfer,1,0,0,0,0,1,0,1,0,24.0,White,Mix
19,Return_to_owner,0,0,1,0,0,0,1,1,0,12.0,Black,Mix
20,Transfer,0,1,0,0,0,0,1,1,0,2.0,BiColor,Mix
21,Transfer,0,0,0,1,0,1,0,1,0,12.0,White,Mix
22,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Hybrid
23,Adoption,0,0,1,0,0,0,1,1,0,10.0,BiColor,Mix
24,Return_to_owner,0,0,1,0,0,0,1,1,0,2.0,BiColor,Mix
25,Transfer,1,0,0,0,0,1,0,1,0,1.0,Tabby,Mix
26,Adoption,0,0,0,1,0,0,1,1,0,6.0,BiColor,Mix
27,Adoption,0,0,0,1,0,0,1,1,0,60.0,BiColor,Mix
28,Adoption,0,0,0,1,0,1,0,1,0,2.0,BiColor,Mix
29,Return_to_owner,0,0,1,0,0,1,0,1,0,84.0,Blue,Mix
30,Euthanasia,0,0,0,1,0,1,0,0,1,36.0,Calico,Mix
31,Transfer,0,1,0,0,0,0,1,1,0,4.0,BiColor,Mix
32,Adoption,0,0,0,1,0,1,0,0,1,2.0,Torbie,Mix
33,Return_to_owner,0,0,1,0,0,0,1,1,0,60.0,BiColor,Hybrid
34,Transfer,0,0,1,0,0,0,1,1,0,36.0,Brown,Mix
35,Euthanasia,0,1,0,0,0,0,1,0,1,36.0,Yellow,Mix
36,Return_to_owner,0,0,1,0,0,0,1,1,0,36.0,BiColor,Mix
37,Transfer,0,1,0,0,0,1,0,0,1,2.0,BiColor,Mix
38,Transfer,0,0,1,0,0,1,0,1,0,4.0,BiColor,Mix
39,Transfer,0,1,0,0,0,1,0,0,1,0.75,Tabby,Mix
40,Adoption,0,0,0,1,0,1,0,1,0,84.0,Tabby,Mix
41,Transfer,0,1,0,0,0,1,0,0,1,2.0,Tabby,Mix
42,Transfer,1,0,0,0,0,1,0,1,0,2.0,Tabby,Mix
43,Transfer,0,1,0,0,0,1,0,0,1,48.0,BiColor,Mix
44,Adoption,0,0,1,0,0,1,0,1,0,24.0,BiColor,Mix
45,Return_to_owner,0,0,1,0,0,0,1,1,0,144.0,Tricolor,Purebreed
46,Return_to_owner,0,0,0,1,0,1,0,1,0,108.0,BiColor,Mix
47,Transfer,1,0,0,0,0,1,0,0,1,0.75,Black,Mix
48,Adoption,0,0,0,1,0,0,1,1,0,5.0,BiColor,Mix
49,Euthanasia,0,1,0,0,0,0,1,0,1,72.0,BiColor,Hybrid
50,Transfer,1,0,0,0,0,1,0,0,1,12.0,Tortie,Mix
51,Adoption,0,0,0,1,0,1,0,1,0,3.0,Tabby,Mix
52,Transfer,1,0,0,0,0,1,0,0,1,0.75,BiColor,Mix
53,Adoption,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
54,Adoption,0,0,0,1,0,1,0,1,0,2.0,BiColor,Mix
55,Transfer,0,1,0,0,0,1,0,0,1,0.25,Black,Mix
56,Adoption,0,0,0,1,0,1,0,1,0,2.0,Calico,Mix
57,Transfer,0,1,0,0,0,0,1,0,1,12.0,Tan,Mix
58,Return_to_owner,0,0,0,1,0,0,1,1,0,48.0,BiColor,Mix
59,Adoption,0,0,1,0,0,0,1,1,0,24.0,BiColor,Hybrid
60,Transfer,0,1,0,0,0,1,0,1,0,12.0,BiColor,Mix
61,Euthanasia,0,0,0,1,0,0,1,1,0,132.0,BiColor,Mix
62,Transfer,1,0,0,0,0,1,0,1,0,1.0,Black,Mix
63,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
64,Transfer,0,0,0,0,1,1,0,0,1,0.5,Black,Mix
65,Return_to_owner,0,0,0,1,0,0,1,1,0,72.0,White,Mix
66,Transfer,0,0,1,0,0,0,1,1,0,6.0,BiColor,Mix
67,Transfer,1,0,0,0,0,0,1,1,0,2.0,Buff,Purebreed
68,Transfer,0,0,0,0,1,1,0,0,1,2.0,BiColor,Mix
69,Adoption,0,0,0,1,0,0,1,1,0,12.0,Red,Mix
70,Adoption,0,0,1,0,0,0,1,1,0,2.0,Brown,Mix
71,Transfer,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
72,Adoption,0,0,0,1,0,0,1,0,1,36.0,White,Hybrid
73,Return_to_owner,1,0,0,0,0,1,0,1,0,12.0,Black,Mix
74,Return_to_owner,0,0,0,1,0,0,1,1,0,48.0,BiColor,Mix
75,Transfer,0,0,0,1,0,0,1,1,0,24.0,Tan,Hybrid
76,Adoption,0,0,0,1,0,1,0,1,0,3.0,Tabby,Purebreed
77,Euthanasia,1,0,0,0,0,1,0,0,1,12.0,Calico,Mix
78,Adoption,0,0,1,0,0,0,1,1,0,2.0,Black,Hybrid
79,Transfer,0,0,0,1,0,1,0,0,1,24.0,BiColor,Mix
80,Adoption,0,0,1,0,0,0,1,1,0,12.0,White,Purebreed
81,Euthanasia,0,0,0,0,1,1,0,0,1,0.5,Tabby,Mix
82,Transfer,0,0,0,0,1,1,0,1,0,1.0,Seal Point,Mix
83,Transfer,0,1,0,0,0,1,0,0,1,24.0,Tabby,Mix
84,Euthanasia,0,0,1,0,0,0,1,1,0,144.0,Brown Brindle,Mix
85,Adoption,0,0,1,0,0,0,1,0,1,12.0,BiColor,Hybrid
86,Adoption,0,0,1,0,0,1,0,1,0,2.0,Black,Mix
87,Transfer,0,1,0,0,0,1,0,0,1,0.5,Black,Mix
88,Transfer,1,0,0,0,0,0,1,0,1,3.0,BiColor,Mix
89,Adoption,0,0,0,1,0,1,0,0,1,3.0,Calico,Mix
90,Adoption,0,0,1,0,0,0,1,1,0,5.0,BiColor,Mix
91,Adoption,0,0,0,1,0,0,1,1,0,36.0,Black,Hybrid
92,Transfer,0,0,0,1,0,0,1,1,0,84.0,BiColor,Purebreed
93,Euthanasia,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
94,Adoption,0,0,0,1,0,1,0,1,0,4.0,Black,Mix
95,Adoption,0,0,0,1,0,0,1,1,0,108.0,BiColor,Hybrid
96,Transfer,0,0,1,0,0,0,1,1,0,7.0,BiColor,Mix
97,Adoption,0,0,1,0,0,1,0,0,1,2.0,BiColor,Mix
98,Transfer,0,1,0,0,0,1,0,0,1,36.0,BiColor,Mix
99,Adoption,0,0,1,0,0,0,1,0,1,36.0,Other,Mix
100,Adoption,0,0,1,0,0,0,1,1,0,60.0,BiColor,Mix
101,Transfer,0,0,1,0,0,0,1,1,0,60.0,BiColor,Mix
102,Transfer,1,0,0,0,0,1,0,0,1,0.5,Blue,Mix
103,Transfer,0,0,0,0,1,1,0,0,1,0.5,Black,Mix
104,Transfer,0,0,0,1,0,1,0,1,0,48.0,Torbie,Mix
105,Return_to_owner,0,0,1,0,0,0,1,1,0,48.0,BiColor,Mix
106,Adoption,0,0,1,0,0,1,0,1,0,2.0,Tabby,Mix
107,Return_to_owner,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
108,Adoption,0,0,1,0,0,0,1,1,0,24.0,White,Mix
109,Return_to_owner,0,0,1,0,0,0,1,1,0,108.0,BiColor,Mix
110,Return_to_owner,0,0,1,0,0,0,1,1,0,60.0,Tricolor,Mix
111,Euthanasia,0,0,1,0,0,0,1,1,0,12.0,BiColor,Hybrid
112,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
113,Transfer,0,1,0,0,0,1,0,0,1,0.75,Tabby,Mix
114,Transfer,0,1,0,0,0,0,1,1,0,5.0,BiColor,Mix
115,Euthanasia,0,1,0,0,0,1,0,0,1,72.0,Tabby,Mix
116,Adoption,0,0,0,1,0,0,1,1,0,12.0,Tan,Mix
117,Transfer,0,1,0,0,0,0,1,1,0,3.0,BiColor,Mix
118,Transfer,1,0,0,0,0,1,0,1,0,1.0,Calico,Mix
119,Return_to_owner,0,0,0,1,0,0,1,1,0,36.0,Brown,Mix
120,Return_to_owner,0,0,1,0,0,0,1,1,0,60.0,Black,Mix
121,Adoption,0,0,1,0,0,0,1,1,0,96.0,Black,Hybrid
122,Adoption,0,0,0,1,0,0,1,0,1,2.0,BiColor,Mix
123,Euthanasia,1,0,0,0,0,1,0,0,1,84.0,Tortie,Mix
124,Adoption,1,0,0,0,0,1,0,1,0,2.0,Black,Mix
125,Adoption,0,0,1,0,0,0,1,1,0,60.0,Black,Purebreed
126,Adoption,0,0,1,0,0,0,1,1,0,12.0,BiColor,Mix
127,Transfer,0,1,0,0,0,1,0,0,1,3.0,Tabby,Mix
128,Return_to_owner,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
129,Return_to_owner,0,0,0,1,0,0,1,1,0,108.0,BiColor,Mix
130,Adoption,0,0,0,1,0,0,1,1,0,36.0,BiColor,Mix
131,Return_to_owner,0,0,0,1,0,1,0,1,0,36.0,Calico,Mix
132,Adoption,0,0,0,1,0,0,1,1,0,12.0,BiColor,Hybrid
133,Transfer,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
134,Return_to_owner,0,0,0,1,0,0,1,1,0,12.0,Brown Brindle,Purebreed
135,Transfer,0,0,1,0,0,1,0,1,0,24.0,Other,Mix
136,Return_to_owner,0,0,0,1,0,0,1,1,0,24.0,Brown,Mix
137,Transfer,1,0,0,0,0,1,0,0,1,24.0,BiColor,Mix
138,Transfer,0,0,0,0,1,1,0,0,1,3.0,Tortie,Mix
139,Adoption,0,0,0,1,0,0,1,1,0,1.0,Tricolor,Hybrid
140,Adoption,0,0,1,0,0,1,0,0,1,2.0,BiColor,Mix
141,Adoption,0,0,1,0,0,1,0,0,1,10.0,Tabby,Mix
142,Transfer,0,0,0,1,0,1,0,1,0,24.0,BiColor,Mix
143,Adoption,0,0,0,1,0,1,0,1,0,2.0,Calico,Mix
144,Adoption,0,0,1,0,0,0,1,1,0,6.0,Yellow,Mix
145,Adoption,0,0,0,1,0,1,0,1,0,2.0,Tabby,Mix
146,Adoption,0,0,0,1,0,0,1,0,1,12.0,Tan,Mix
147,Transfer,1,0,0,0,0,0,1,1,0,6.0,BiColor,Mix
148,Adoption,0,0,0,1,0,1,0,1,0,12.0,BiColor,Mix
149,Transfer,0,1,0,0,0,1,0,0,1,0.75,Calico,Mix
150,Adoption,0,0,1,0,0,1,0,1,0,24.0,Tabby,Mix
151,Adoption,0,0,0,1,0,0,1,1,0,11.0,BiColor,Mix
152,Transfer,0,0,1,0,0,0,1,0,1,3.0,Tricolor,Mix
153,Return_to_owner,0,0,0,1,0,0,1,1,0,24.0,Brown,Purebreed
154,Transfer,0,0,1,0,0,0,1,1,0,24.0,Red,Mix
155,Adoption,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
156,Adoption,0,0,0,1,0,1,0,1,0,4.0,Calico,Purebreed
157,Transfer,1,0,0,0,0,0,1,0,1,4.0,Red,Hybrid
158,Transfer,1,0,0,0,0,1,0,0,1,5.0,Torbie,Mix
159,Adoption,0,0,1,0,0,1,0,1,0,2.0,BiColor,Mix
160,Transfer,0,0,1,0,0,0,1,1,0,84.0,BiColor,Mix
161,Adoption,0,0,1,0,0,1,0,1,0,48.0,BiColor,Mix
162,Transfer,1,0,0,0,0,1,0,0,1,0.75,BiColor,Mix
163,Adoption,0,0,1,0,0,0,1,1,0,6.0,BiColor,Mix
164,Adoption,1,0,0,0,0,0,1,1,0,5.0,BiColor,Mix
165,Return_to_owner,0,0,0,1,0,0,1,1,0,96.0,White,Purebreed
166,Adoption,0,0,1,0,0,1,0,0,1,2.0,Black,Mix
167,Adoption,0,0,0,1,0,1,0,1,0,1.0,BiColor,Mix
168,Return_to_owner,0,0,0,1,0,0,1,0,1,5.0,White,Mix
169,Transfer,0,1,0,0,0,1,0,1,0,1.0,Tabby,Mix
170,Transfer,0,1,0,0,0,1,0,0,1,4.0,Tabby,Mix
171,Adoption,0,0,0,1,0,0,1,1,0,12.0,BiColor,Mix
172,Adoption,0,0,1,0,0,0,1,1,0,24.0,BiColor,Hybrid
173,Transfer,0,0,0,1,0,1,0,1,0,132.0,Tortie,Mix
174,Adoption,0,0,1,0,0,0,1,0,1,2.0,Tricolor,Hybrid
175,Transfer,0,0,1,0,0,1,0,1,0,2.0,BiColor,Mix
176,Adoption,1,0,0,0,0,1,0,1,0,2.0,Tabby,Mix
177,Adoption,0,0,0,1,0,0,1,1,0,1.0,BiColor,Hybrid
178,Return_to_owner,0,0,0,1,0,0,1,1,0,84.0,BiColor,Hybrid
179,Transfer,0,1,0,0,0,1,0,0,1,0.0,BiColor,Mix
180,Return_to_owner,0,0,1,0,0,0,1,1,0,48.0,BiColor,Purebreed
181,Transfer,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
182,Return_to_owner,0,0,0,1,0,0,1,1,0,12.0,BiColor,Mix
183,Return_to_owner,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
184,Transfer,1,0,0,0,0,1,0,0,1,1.0,Tabby,Mix
185,Transfer,1,0,0,0,0,1,0,1,0,12.0,BiColor,Mix
186,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Hybrid
187,Transfer,0,1,0,0,0,1,0,0,1,10.0,Tabby,Mix
188,Transfer,0,0,0,1,0,0,1,1,0,48.0,White,Mix
189,Adoption,0,0,0,1,0,1,0,1,0,4.0,BiColor,Mix
190,Transfer,0,0,0,1,0,0,1,1,0,72.0,BiColor,Hybrid
191,Adoption,0,0,0,1,0,0,1,0,1,9.0,BiColor,Mix
192,Adoption,0,0,0,1,0,0,1,1,0,36.0,Red,Hybrid
193,Adoption,0,0,0,1,0,1,0,1,0,8.0,Torbie,Mix
194,Adoption,0,0,0,1,0,0,1,1,0,10.0,BiColor,Hybrid
195,Transfer,0,0,1,0,0,1,0,0,1,12.0,BiColor,Mix
196,Adoption,0,0,1,0,0,0,1,1,0,12.0,Other,Mix
197,Adoption,0,0,1,0,0,0,1,1,0,12.0,BiColor,Mix
198,Adoption,0,0,1,0,0,0,1,1,0,3.0,Yellow,Mix
199,Return_to_owner,0,1,0,0,0,0,1,1,0,72.0,BiColor,Mix
200,Transfer,0,0,0,0,1,1,0,0,1,12.0,Black,Mix
201,Return_to_owner,0,0,1,0,0,0,1,1,0,24.0,BiColor,Mix
202,Adoption,0,0,0,1,0,0,1,0,1,60.0,BiColor,Mix
203,Euthanasia,0,0,1,0,0,1,0,0,1,144.0,BiColor,Mix
204,Adoption,0,0,0,1,0,0,1,1,0,24.0,Sable,Mix
205,Adoption,0,0,1,0,0,0,1,1,0,72.0,BiColor,Mix
206,Adoption,0,0,1,0,0,1,0,1,0,3.0,Black,Mix
207,Return_to_owner,0,0,0,1,0,0,1,1,0,8.0,Tricolor,Mix
208,Transfer,0,0,1,0,0,1,0,1,0,12.0,Black,Mix
209,Transfer,1,0,0,0,0,1,0,1,0,180.0,Black,Mix
210,Transfer,1,0,0,0,0,0,1,0,1,0.75,BiColor,Mix
211,Adoption,0,0,1,0,0,0,1,1,0,5.0,BiColor,Hybrid
212,Adoption,0,0,1,0,0,0,1,0,1,24.0,BiColor,Hybrid
213,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
214,Return_to_owner,0,1,0,0,0,0,1,1,0,24.0,BiColor,Mix
215,Adoption,0,0,0,1,0,0,1,0,1,24.0,BiColor,Mix
216,Transfer,1,0,0,0,0,1,0,0,1,0.75,Calico,Mix
217,Transfer,0,0,0,1,0,0,1,1,0,12.0,BiColor,Mix
218,Transfer,0,1,0,0,0,1,0,0,1,24.0,BiColor,Mix
219,Transfer,0,1,0,0,0,1,0,1,0,1.0,Tabby,Mix
220,Transfer,0,0,1,0,0,0,1,1,0,48.0,BiColor,Mix
221,Transfer,0,1,0,0,0,1,0,0,1,0.75,Tabby,Mix
222,Adoption,0,1,0,0,0,1,0,1,0,2.0,Black,Mix
223,Transfer,0,0,0,1,0,0,1,1,0,12.0,BiColor,Mix
224,Adoption,0,0,0,1,0,0,1,1,0,2.0,BiColor,Mix
225,Adoption,0,0,0,1,0,0,1,1,0,12.0,BiColor,Hybrid
226,Adoption,0,0,0,1,0,0,1,0,1,36.0,Buff,Mix
227,Euthanasia,0,0,1,0,0,0,1,1,0,108.0,Black,Hybrid
228,Return_to_owner,0,0,0,1,0,1,0,1,0,24.0,BiColor,Mix
229,Transfer,0,0,0,1,0,0,1,0,1,60.0,BiColor,Purebreed
230,Return_to_owner,0,1,0,0,0,0,1,1,0,24.0,BiColor,Mix
231,Return_to_owner,0,0,1,0,0,0,1,1,0,24.0,Brown,Purebreed
232,Return_to_owner,0,0,1,0,0,0,1,1,0,84.0,BiColor,Purebreed
233,Transfer,1,0,0,0,0,1,0,0,1,12.0,BiColor,Mix
234,Adoption,0,0,0,1,0,1,0,1,0,72.0,BiColor,Mix
235,Adoption,0,0,1,0,0,1,0,1,0,2.0,BiColor,Mix
236,Return_to_owner,0,0,0,1,0,0,1,1,0,12.0,BiColor,Mix
237,Adoption,0,0,1,0,0,1,0,0,1,2.0,BiColor,Mix
238,Return_to_owner,0,0,0,1,0,0,1,1,0,72.0,Brown Brindle,Mix
239,Transfer,0,1,0,0,0,1,0,0,1,2.0,BiColor,Mix
240,Adoption,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
241,Adoption,0,0,1,0,0,1,0,1,0,84.0,Other,Mix
242,Adoption,0,0,0,1,0,1,0,1,0,3.0,BiColor,Mix
243,Adoption,0,0,1,0,0,0,1,1,0,36.0,Red,Mix
244,Transfer,1,0,0,0,0,1,0,0,1,24.0,Black,Mix
245,Adoption,0,0,0,1,0,0,1,0,1,84.0,BiColor,Purebreed
246,Euthanasia,0,1,0,0,0,1,0,0,1,1.0,BiColor,Mix
247,Return_to_owner,0,0,0,1,0,0,1,1,0,24.0,BiColor,Mix
248,Return_to_owner,1,0,0,0,0,0,1,1,0,5.0,BiColor,Mix
249,Transfer,0,0,1,0,0,0,1,1,0,48.0,BiColor,Hybrid
250,Return_to_owner,0,0,1,0,0,0,1,1,0,24.0,Buff,Mix
251,Transfer,0,0,0,1,0,0,1,1,0,84.0,Tricolor,Mix
252,Adoption,0,0,1,0,0,0,1,1,0,12.0,Brown,Hybrid
253,Transfer,0,0,1,0,0,1,0,0,1,1.0,BiColor,Mix
254,Adoption,0,0,1,0,0,0,1,1,0,1.0,BiColor,Hybrid
255,Adoption,0,0,1,0,0,1,0,1,0,2.0,BiColor,Mix
