,Outcome,Sex_Intact Female,Sex_Intact Male,Sex_Neutered Male,Sex_Spayed Female,Sex_Unknown,AnimalType_Cat,AnimalType_Dog,HasName,Age_in_Months,Adopted_Month,Adopted_Time,Colors,Breeds
0,Return_to_owner,0,0,1,0,0,0,1,1,12.0,2,18,13924,22298
1,Euthanasia,0,0,0,1,0,1,0,1,12.0,10,12,3212,22298
2,Adoption,0,0,1,0,0,0,1,1,24.0,1,12,13924,22298
3,Transfer,0,1,0,0,0,1,0,0,0.75,7,9,2772,22298
4,Transfer,0,0,1,0,0,0,1,0,24.0,11,12,628,3040
5,Transfer,1,0,0,0,0,0,1,1,1.0,4,4,13924,3040
6,Transfer,0,1,0,0,0,1,0,1,0.75,3,11,3212,22298
7,Transfer,0,0,0,0,1,1,0,0,0.75,4,2,3212,22298
8,Adoption,0,0,0,1,0,0,1,1,5.0,2,17,13924,22298
9,Adoption,0,0,0,1,0,0,1,0,12.0,5,7,932,1391
10,Transfer,0,0,0,0,1,1,0,0,24.0,12,15,2292,22298
11,Adoption,0,0,0,1,0,0,1,0,24.0,11,14,2772,22298
12,Adoption,0,0,1,0,0,0,1,1,48.0,2,11,639,22298
13,Return_to_owner,0,0,1,0,0,0,1,1,24.0,6,16,13924,22298
14,Return_to_owner,0,0,1,0,0,0,1,1,12.0,11,15,13924,22298
15,Adoption,0,0,1,0,0,1,0,1,3.0,7,10,13924,22298
16,Transfer,0,1,0,0,0,1,0,0,0.75,5,15,3212,22298
17,Transfer,1,0,0,0,0,0,1,0,0.5,6,12,13924,22298
18,Transfer,1,0,0,0,0,1,0,1,24.0,5,11,932,22298
19,Return_to_owner,0,0,1,0,0,0,1,1,12.0,7,17,2292,22298
20,Transfer,0,1,0,0,0,0,1,1,2.0,1,3,13924,22298
21,Transfer,0,0,0,1,0,1,0,1,12.0,9,15,932,22298
22,Adoption,0,0,0,1,0,0,1,1,24.0,8,14,13924,3040
23,Adoption,0,0,1,0,0,0,1,1,10.0,10,16,13924,22298
24,Return_to_owner,0,0,1,0,0,0,1,1,2.0,4,17,13924,22298
25,Transfer,1,0,0,0,0,1,0,1,1.0,10,15,3212,22298
26,Adoption,0,0,0,1,0,0,1,1,6.0,1,17,13924,22298
27,Adoption,0,0,0,1,0,0,1,1,60.0,3,18,13924,22298
28,Adoption,0,0,0,1,0,1,0,1,2.0,11,1,13924,22298
29,Return_to_owner,0,0,1,0,0,1,0,1,84.0,7,14,2772,22298
30,Euthanasia,0,0,0,1,0,1,0,0,36.0,1,13,517,22298
31,Transfer,0,1,0,0,0,0,1,1,4.0,7,15,13924,22298
32,Adoption,0,0,0,1,0,1,0,0,2.0,7,1,2772,22298
33,Return_to_owner,0,0,1,0,0,0,1,1,60.0,11,13,13924,3040
34,Transfer,0,0,1,0,0,0,1,1,36.0,4,1,639,22298
35,Euthanasia,0,1,0,0,0,0,1,0,36.0,12,14,2772,22298
36,Return_to_owner,0,0,1,0,0,0,1,1,36.0,10,11,13924,22298
37,Transfer,0,1,0,0,0,1,0,0,2.0,7,13,13924,22298
38,Transfer,0,0,1,0,0,1,0,1,4.0,8,24,13924,22298
39,Transfer,0,1,0,0,0,1,0,0,0.75,7,12,3212,22298
40,Adoption,0,0,0,1,0,1,0,1,84.0,4,17,3212,22298
41,Transfer,0,1,0,0,0,1,0,0,2.0,6,13,3212,22298
42,Transfer,1,0,0,0,0,1,0,1,2.0,12,4,3212,22298
43,Transfer,0,1,0,0,0,1,0,0,48.0,1,15,13924,22298
44,Adoption,0,0,1,0,0,1,0,1,24.0,5,15,13924,22298
45,Return_to_owner,0,0,1,0,0,0,1,1,144.0,8,7,2772,1391
46,Return_to_owner,0,0,0,1,0,1,0,1,108.0,8,11,13924,22298
47,Transfer,1,0,0,0,0,1,0,0,0.75,5,11,2292,22298
48,Adoption,0,0,0,1,0,0,1,1,5.0,3,17,13924,22298
49,Euthanasia,0,1,0,0,0,0,1,0,72.0,10,15,13924,3040
50,Transfer,1,0,0,0,0,1,0,0,12.0,7,9,530,22298
51,Adoption,0,0,0,1,0,1,0,1,3.0,10,18,3212,22298
52,Transfer,1,0,0,0,0,1,0,0,0.75,6,16,13924,22298
53,Adoption,0,0,1,0,0,0,1,1,24.0,5,7,13924,22298
54,Adoption,0,0,0,1,0,1,0,1,2.0,11,5,13924,22298
55,Transfer,0,1,0,0,0,1,0,0,0.25,10,2,2292,22298
56,Adoption,0,0,0,1,0,1,0,1,2.0,8,13,517,22298
57,Transfer,0,1,0,0,0,0,1,0,12.0,7,16,628,22298
58,Return_to_owner,0,0,0,1,0,0,1,1,48.0,9,5,13924,22298
